VS (below)	Aatrox	Akali	Ambessa	Aurora	Camille	Cassiopeia	Cho'Gath	Darius	Dr. Mundo	Fiora	Galio	Gangplank	Garen	Gnar	Gragas	Gwen	Heimerdinger	Illaoi	Irelia	Jax	Jayce	K'Sante	Kayle	Kennen	Kled	Malphite	Maokai	Mordekaiser	Nasus	Olaf	Ornn	Pantheon	Poppy	Quinn	Renekton	Riven	Rumble	Ryze	Sett	Shen	Singed	Sion	Smolder	Swain	Sylas	Tahm Kench	Teemo	Trundle	Tryndamere	Udyr	Urgot	Vayne	Vladimir	Volibear	Warwick	Wukong	Yasuo	Yone	Yorick	Zac
Aatrox	/	50.41	52.6	51.07	49.19	54.37	47.38	49.76	45	50.93	50.55	47.31	48.71	50.91	50.79	51.89	52.18	49.42	52.97	49.95	48.88	49.79	53.51	53.22	49.72	53.14	50.46	49.9	46.63	51.52	50.11	48.91	50.7	51.85	50.24	52.78	46.29	49.03	48.32	49.48	55.07	47.99	39.36	48.77	46.57	48.84	52.23	50	49.08	48.98	49.47	51.89	50.73	50.99	50.77	51.27	47.19	48.12	51.07	49.01
Akali	49.81	/	53.35	46.59	50.67	49.67	58.38	51.54	49.21	50.19	51.84	54.45	49.52	47.46	53.23	47.71	49.52	52.54	51.35	49.33	50.86	48.28	45.24	49.29	50.23	47.82	53.79	48.92	53.31	44.09	51.89	50	52.59	50.49	52.21	56.14	50.52	47.2	48.12	56.13	56.25	51.91	39.48	50.23	52.14	52.74	48.89	44.72	53.3	56.99	55.11	47.32	48.08	50.9	52.24	40.91	53.3	47.04	48.02	53.55
Ambessa	45.68	46.6	/	45.44	51.87	51.39	49.61	50.46	44.21	46.31	45.05	51.19	46.24	48.15	48.17	47.15	48.98	49.27	52.54	48.66	45.07	46.21	50.23	51.33	51.44	50.14	50.44	46.48	46.09	46.81	46.02	50.79	51.03	49.02	52.49	52.57	45.89	47.79	50.36	48.78	48.21	45.68	35.65	47.62	46.86	49.88	50.8	49.48	52.19	48.77	49.45	48.58	49.43	50.75	52.52	50.83	43.52	43.37	47.02	48.5
Aurora	54.89	46.59	54.42	/	52.26	55.17	52.45	48.43	49.88	48.4	54.55	53.02	49.23	50.04	53.72	48.71	51.17	48.39	55.08	48.83	54.32	48.03	48.79	55.08	52.7	52.89	51.32	55.36	49.92	48.52	49.6	54.09	51.27	49.26	49.58	52.68	49.46	51.98	50.07	49.02	52.16	54.89	42.53	50.72	51.46	51.23	51.29	46.67	51.15	53.89	51.34	48.86	49.18	46.73	53.43	53.97	49.34	50.47	48.84	52.16
Camille	51.51	49.5	48.17	47.75	/	53.14	52.71	51.28	49.9	49.2	53.53	48.69	44.26	46.99	50	50.96	50.7	48.35	45.76	51.67	45.2	48.09	52.79	49.35	47.04	51.04	54.88	52.26	47.01	50.68	50.74	48.18	51.72	49.58	50.04	49.53	47.82	51.89	49.97	53.15	48.14	51.51	36.28	46.12	47.72	52.12	55.31	51.25	46.61	48.7	49.39	50.81	49.13	50.58	54.08	51.68	46.79	44.92	47.77	52.09
Cassiopeia	47.17	50	48.56	44.44	46.86	/	46.63	45.04	51.18	53.05	48.28	45.78	47.13	46.4	46.57	40.79	39.51	40.68	47.67	43.1	49.08	46.07	40	49.18	42.62	48.03	45.39	40.36	47.32	50.52	48.15	49.69	40.91	45.31	50.55	47.69	48.28	45.66	46.94	46.32	46.77	47.17	33.14	53.48	47.68	45.91	43.17	43.82	47.85	44.23	48.66	42.62	49.76	46.05	43.84	36.99	45.83	44.58	50	41.05
Cho'Gath	48.01	41.62	50.35	47.64	47.25	53.14	/	47.82	55.01	50.56	50.26	45.82	44.06	50.96	48.7	52.35	41.67	45.13	49.08	45.61	41.6	49.56	48.62	51.22	51.8	43.99	51.08	54.54	47.59	49.33	50.74	46.52	47.64	53.8	45.33	46.59	47.11	48	51.27	52.09	48.78	48.01	43.12	47.21	45.27	50.9	47.9	49.23	49.44	40	51.91	49.81	47.64	51.08	46.29	41.42	48.83	48.4	47.31	50.17
Darius	47.6	48.57	49.54	51.57	48.72	54.96	52.18	/	53.28	48.83	52.98	48.45	45.67	48.23	52.06	49.15	53.92	48.85	47.18	50.53	50.28	48.4	51.57	53.07	53.07	51.45	53.5	48.24	47.86	49.08	51.52	51.37	48.74	49.9	49.72	51.94	48.2	54.04	48.45	49.63	47.24	47.6	41.92	49.4	45.41	52.36	53.91	50.64	45.77	43.75	53.29	54.25	50.14	50.8	46.59	53.36	46.26	43.9	53.9	47.25
Dr. Mundo	47.04	50.69	55.84	50.18	49.87	48.94	44.97	46.67	/	52.15	43.08	48.26	50.85	47.68	49.35	54.34	43.89	47.42	54.65	42.54	43.84	49.55	51.48	47.59	51.62	44.07	47.99	49.66	47.98	50	47.94	47.58	47.23	41.64	46.24	53.7	47.8	51.13	50.43	49.06	47.4	47.04	41.57	49.27	50.1	49.96	49.74	48.54	53.4	55.64	48.65	46.1	46.34	48.27	56.47	51.35	47.4	52.89	54.07	50.93
Fiora	50.88	49.81	53.64	51.46	50.7	46.95	49.52	51.22	47.84	/	39.64	47.54	48.61	49.68	49.36	47.83	55.16	47.17	47.65	47.56	50.39	46.16	52.65	54.62	50.46	52.02	49.47	47.73	53.9	51.91	46.58	50.14	51.97	53.06	51.18	53	46.26	52.44	51.14	49.71	50.53	50.88	45.04	45.99	49.66	51.28	52.74	52.75	52.19	48.58	51.82	47.21	47.58	47.14	56.98	53.46	46.76	46.92	48.01	48.73
