VS (below)	Aatrox	Ambessa	Amumu	Bel'Veth	Briar	Cho'Gath	Diana	Dr. Mundo	Ekko	Elise	Evelynn	Fiddlesticks	Gragas	Graves	Gwen	Hecarim	Ivern	Jarvan IV	Jax	Karthus	Kayn	Kha'Zix	Kindred	Lee Sin	Lillia	Malphite	Master Yi	Naafiri	Nidalee	Nocturne	Nunu & Willump	Pantheon	Poppy	Qiyana	Rammus	Rek'Sai	Rengar	Shaco	Shyvana	Sylas	Taliyah	Talon	Teemo	Trundle	Udyr	Vi	Viego	Volibear	Warwick	Wukong	Xin Zhao	Zaahen	Zac	Zed	Zyra
Aatrox	/	48.07	47.01	54.89	52.41	50.22	50.16	47.27	52.64	55.39	53.74	51.48	51.05	48.73	51.72	50.07	54.68	47.22	50.13	46.24	53.4	52.97	53.09	49.62	52.13	50.39	52.68	50.25	52.79	51.04	53.4	47.63	45.6	49.26	50.57	53.27	45.11	51.44	50.87	50.54	54.91	51.9	44.97	49.8	47.77	50.57	50.13	48.1	49.16	51.42	48.65	51.49	54.69	50.18	56.12
Ambessa	51.93	/	51.25	57.35	55.64	46.89	53.56	53.73	57.32	54.3	53.29	58.97	54.55	53.85	51.4	54.26	53.62	55.88	52.73	50.87	53.76	55.28	56.13	55.25	52.78	52.11	53.36	50.21	56.23	55.23	52.57	53.58	50.84	52.7	54.68	53.16	52.48	54.32	46.67	53.74	57.92	53.63	57.55	50.86	55.03	49.82	54.29	60.56	58.56	51.62	52.35	53.45	53.38	53.04	55.45
Amumu	52.99	48.75	/	44.53	47.09	50.78	52.91	50	47.21	42.86	55.24	52.22	50.68	47.44	54.46	50.86	53.63	52.81	53.29	54.49	51.41	48.4	51.06	47.65	54.96	45.19	48.05	52.51	47.7	47.79	43.97	50.34	56	49.45	58.26	57.65	50.16	55.32	59.48	50.27	56.36	49.32	45.54	48.91	49.23	45.09	50.04	50.21	50.3	42.67	49.22	49.01	51.5	51.21	49.32
Bel'Veth	45.11	42.65	55.47	/	51.37	47.15	50.5	45.7	52.7	54.98	49.25	45.23	41.67	49.18	40.94	49.57	55.81	50.22	52.21	48.94	47.82	49.57	51.35	48.28	51.3	48.34	51.92	44.88	52.29	45.22	53.07	45.71	44.44	50.09	47.47	55.43	47.18	51.5	48.78	46.74	46.15	46.35	45	44.28	46.34	49.08	44.63	55.8	50.18	49.53	50.11	42.33	51.64	49.33	52.08
Briar	47.59	44.36	52.91	48.63	/	48.24	45.95	45.55	48.16	50	44.67	50.33	43.57	49.17	48.3	50.27	51.1	49.27	52.18	51.66	49.17	48.24	49.17	46.46	44.14	45.84	51.68	46.61	49.11	49.93	53.88	52.6	51.52	43.7	47.98	50.58	45.12	47.45	40.28	46.41	56.55	46.9	63.01	44.79	53.05	47.74	50.02	51.85	50.72	53.33	48.28	48.54	51.61	47.65	52
Cho'Gath	49.78	53.11	49.22	52.85	51.76	/	50.29	53.66	55.19	53.82	56.11	53.31	47.83	53.75	56.22	49.64	50.53	52.19	48.76	43.65	53.94	53.62	51.52	51.34	52.52	47.11	49.68	50.19	57.45	53.39	49.39	47.65	45.61	49.06	46.09	50.21	49.29	52.24	47.93	53.13	52.94	50.27	49.45	55.56	55.72	47.06	50.73	49.6	50.63	50.15	49.89	49.71	52.49	49.84	59.81
Diana	49.84	46.44	47.09	49.5	54.05	49.71	/	50.47	52.68	46.36	50.73	48.69	52.17	48.8	52.75	51.69	54.76	47.9	53.58	48.58	48.22	49.23	49.77	48.36	47.37	47.25	50.45	44.11	47.92	47.98	52.67	44.42	45.45	44.84	49.71	51.97	46.38	49.09	46.72	50.5	52.82	47.85	47.88	50.11	53.08	42.41	51.44	53.86	51.59	51.07	51.15	49.52	49.2	49.44	48.57
Dr. Mundo	52.73	46.27	50	54.3	54.45	46.34	49.53	/	48.71	47.27	44.95	49.62	50.98	47.04	52.41	49.69	55.58	51.21	45.56	41.49	53.05	47.76	49.31	51.04	51.2	45	51.14	54.64	52.69	46.44	56.15	44.13	50.38	44.23	54.51	51.22	45.41	50.16	46.44	51.6	42.79	50.8	47.62	51.04	51.99	47.54	48.76	45.37	51.58	48.68	47.9	48.74	56.36	48.2	53.65
Ekko	47.36	42.68	52.79	47.3	51.84	44.81	47.32	51.29	/	50.21	48.02	49.29	49.29	50.68	46.36	51.09	48.64	49.33	50.64	49.57	50.54	51.31	51.21	49.22	45.91	47.71	50.69	48.54	50.83	45.94	49.41	45.8	47.06	49.93	52.75	47.75	50.06	50.75	51.26	50.93	46.15	51	45.36	47.92	49.73	48.69	49.24	47.44	46.24	47.53	47.33	45.97	46.98	49.25	50.22
Elise	44.61	45.7	57.14	45.02	50	46.18	53.64	52.73	49.79	/	42.81	57.23	54.26	51.01	44.52	50.22	60.82	51.55	54.86	50.91	50.46	49.12	47.5	47.04	48.39	49.06	51.27	51.79	52.27	54.62	51.71	47.81	43.64	47.61	65.03	50.55	50.7	53.39	45.3	46.96	49.07	50.9	37.63	49.67	51.3	50.43	46.05	42.23	47.06	54.65	48.37	46.81	49.36	47.55	52.55
Evelynn	46.26	46.71	44.76	50.75	55.33	43.89	49.27	55.05	51.98	57.19	/	50	50.5	48.22	42.44	48.33	51.03	51.73	45.61	46.29	48.85	50.82	47.15	50.38	47.39	45.62	48.96	51.01	46.74	45.1	50.67	46.96	63.83	47.95	60.43	54.74	52.34	49.71	52.1	50.26	45.05	48.5	52.81	43.66	52.9	46.3	47.19	43.89	45.38	46.53	50.1	46.43	47.75	47.67	41.94
Fiddlesticks	48.52	41.03	47.78	54.77	49.67	46.69	51.31	50.38	50.71	42.77	50	/	50.63	45.02	45.05	49.73	44.26	48.6	47.44	49.78	48.02	46.57	50.55	49.09	50.63	44.63	50.08	46.21	49.41	52.45	49.66	45.41	51.56	49.7	51.88	41.67	48.53	48.41	55.47	50.03	48.28	51.06	50.45	51.18	54.92	46.37	46.92	49.54	51.68	49.85	48.49	49.32	49.42	50.31	38.68
Gragas	48.95	45.45	49.32	58.33	56.43	51.09	47.83	49.02	50.71	45.74	49.5	49.37	/	46.57	48.48	43.75	48	53.31	49.71	54.29	49.79	45.55	49.34	47.85	45.08	47.27	50.94	51.16	51.32	43.59	56.32	42.17		51.75	46.67	55.38	50.19	53.79		49.45	52.63	52.98		50	43.75	46.15	51.43	40.85	57.27	48.28	46.39	50	48.87	47.62	
Graves	51.27	46.15	52.56	50.82	50.83	46.25	51.2	52.96	49.32	48.99	51.78	54.98	53.43	/	48.28	50.23	52.05	50.45	50.19	49.22	47.06	50.66	50.16	49.32	50.68	49.65	51.28	50.96	52.8	48.63	53.4	47.09	50	47.41	52.89	49.49	49.2	49.36	49.52	50.76	54.84	50.43	50.93	50.23	53.75	50.57	51.12	50	50.85	52.68	51.48	47.25	49.82	47.8	54.57
Gwen	48.28	48.6	45.54	59.06	51.7	43.78	47.25	47.59	53.64	55.48	57.56	54.95	51.52	51.72	/	53.15	58.65	47.61	51.9	51.09	56.47	52.18	53.23	46.78	52.34	49.04	59.29	54.23	48.36	46.67	54.55	45.45	49.06	48.01	56.38	52.67	43.97	52.17	54.05	50.48	49.23	57.39	36.17	54.21	53.2	50.8	49.22	55.91	56.73	47.99	46.11	47.45	52.56	49.4	62.5
Hecarim	49.93	45.74	49.14	50.43	49.73	50.36	48.31	50.31	48.91	49.78	51.67	50.27	56.25	49.77	46.85	/	54.93	50.2	53.77	48.46	51.37	49.26	56.83	49.61	52.99	50.11	52.38	43.01	51.38	47.24	51.42	50.87	50.7	47.68	47.8	49.74	45.07	50.47	50	54.03	49.59	47.32	43.86	51.14	47.69	50.1	52.11	52.51	50.54	47.04	47.62	51.41	47.36	45.25	46.93
