VS (below)	Ahri	Akali	Akshan	Anivia	Annie	Aurelion Sol	Aurora	Azir	Brand	Cassiopeia	Cho'Gath	Diana	Ekko	Fizz	Galio	Hwei	Irelia	Jayce	Kassadin	Katarina	Kayle	Kennen	LeBlanc	Lissandra	Lux	Malzahar	Mel	Morgana	Naafiri	Neeko	Orianna	Pantheon	Qiyana	Quinn	Ryze	Sion	Smolder	Swain	Sylas	Syndra	Taliyah	Talon	Tristana	Twisted Fate	Veigar	Vel'Koz	Vex	Viktor	Vladimir	Xerath	Yasuo	Yone	Zed	Ziggs	Zoe
Ahri	/	48.96	49.7	48.53	50.72	47.3	48.13	43.57	45.59	49.45	43.08	50	49.47	50.27	46.04	47.05	49.09	46.56	50.38	51.6	50.84	52.45	48.88	47.27	48.73	48.64	52.48	48.72	51.72	54.29	46.6	46.41	48.5	49.55	47.2	50.21	43.53	52.96	49.04	48.91	45.83	52.65	46.02	47.98	50.57	48.11	49.65	46.63	49.08	49.29	50.72	44.4	49.22	49.34	50.38
Akali	51.04	/	51.95	51.87	48.77	49.22	50.37	43.97	47.63	49.06	50	51.4	49.01	47.52	54.09	49.72	47.31	49.65	53.04	50.01	49.62	59.52	49.84	54.82	51.09	52.09	49.67	54.09	48.46	58.94	46.78	55.45	51.66	51.67	51.83	47.86	45.17	59.02	49.99	52.41	52.83	52.16	41.7	55.55	50.05	50.54	53.89	44.67	52.57	46.72	50.41	44.94	50.39	46.74	49.97
Akshan	50.3	48.05	/	49.3	51.72	48.31	45.49	49.91	49.67	52.93	45.71	49.53	45.41	49.68	51.82	47.33	50.72	44.12	45.34	49.48	50.41	50.77	45.49	45.45	48.2	47.14	49.86	45.83	49.43	53.73	46.48	51.66	51.32	43.83	47.17	50	48.35	48.36	48.32	49.23	47.63	48.99	42.61	51.72	50.61	49.35	52.94	47.52	52.48	46.34	56.49	44.47	48.23	48.63	48.98
Anivia	51.47	48.13	50.7	/	48.95	52.63	48.31	44.94	49.17	48.69	55.97	43.63	48.74	47.02	46.79	50.47	49.47	46.12	48.45	50	50.71	48.92	47.98	47.62	48.41	49.08	46.25	50.96	49.33	55	47.53	43	49.91	49.11	46.18	42.28	47.66	48.62	46.68	52.33	49.78	50.96	48.66	48.15	47.38	54.09	45.69	49.09	48.31	49.13	45.44	44.87	45.06	50.84	50.41
Annie	49.28	51.23	48.28	51.05	/	47.85	57.59	46.19	50	54.81	42.31	55.02	58	52.76	53.62	52.2	54.64	48.96	50	48.74	50	53.73	51.91	51.82	53.14	50.48	46.56	52.5	49.28	51.35	51.95	54.35	52.17	48	43.66	53.66	52.89	56.8	46.1	52.21	48.23	55.47	48	48.82	52.03	51.11	50.34	49.81	50.52	54.37	45.21	43.07	53.88	47.37	51.31
Aurelion Sol	52.7	50.78	51.69	47.37	52.15	/	47.07	45.79	51.94	53.19	49.51	50.33	52.07	55.12	47.63	47.06	53.99	51.28	52.88	54.5	51.29	57.69	50	45.33	46.79	50.31	43.55	49.33	60.25	47.5	44.44	53.01	53.56	53.62	44.17	44.29	41.47	48.45	48.44	48.24	49.36	54.66	49.22	49.43	49.9	54.66	55.51	46.62	53.08	47.58	47.24	53.87	54.67	43.67	51.98
Aurora	51.87	49.63	54.51	51.69	42.41	52.93	/	49.91	48.32	49.24	46.15	53.79	51.85	51.68	45.24	51.01	49.35	51.14	53.86	54.33	52.75	59.88	51.58	49.01	51.05	50.8	51.98	50.79	56.84	61.24	52.14	60.36	53.35	60.54	52.15	45.37	48.65	48.92	49.48	52.52	49.35	54.68	49.29	53.93	50.34	51.42	49.76	51.22	47.35	51.08	49.37	47.52	55.94	50.79	51.35
Azir	56.43	56.03	50.09	55.06	53.81	54.21	50.09	/	59.88	54.8	51.67	55.87	56.3	54.42	53.77	55.65	52.22	57.37	55.39	53.93	54.39	58.87	57.35	55.9	52.87	56.83	51.16	54.66	57.28	47.83	54.81	60.32	60.86	49.46	53.84	50.43	50.56	54.88	56.25	56.64	54.95	56.63	49.08	57.03	55.07	55.26	55.74	55.52	57.12	57.7	50.68	52.59	54.82	58.72	55.61
Brand	54.41	52.05	50.33	50.83	50	48.06	51.68	40.12	/	51.95	48.39	53.14	51.32	53.23	42.79	46.26	42.16	50.98	47.29	47.01	52.38	40	45.71	47.06	52.2	54.63	47.77	47.46	56.12		43.36		44.04		41.07	57.14	49.4	47.83	49.08	48.28	49.61	57.3	62.5	43.93	45.64	65.75	47.22	44.06	45.3	49.56	50.18	44.16	49.61	38.3	53.81
Cassiopeia	50.55	50.94	47.07	51.31	45.19	46.81	50.76	45.2	48.05	/	49.45	49.88	49.33	50	47.21	52.49	45.88	47.69	51.77	47.23	49.57	47.25	49.3	48.73	52.98	51.59	47.73	48.52	45.02	54.72	50.27	66.04	51.32	66.67	47.12	67.24	44.77	42.96	47.1	54.88	49.22	55.87	47.06	55.41	56	55.91	49.05	49.8	49.66	50.64	45.12	42.39	47.67	48.86	51.47
Cho'Gath	56.62	50	54.29	44.03	57.69	50.49	53.85	48.33	51.61	50.55	/	45.33	45.81	48.55	53.5	52.6	43.69	52.08	42.24	46.34	52.5	62.5	58.57	46.43	48.45	49.78	48.4	60.49	56.16		50	43.75	49.15		42.55	50	42.65	44.23	48.16	52.43	42.86	48.15	52.78	54.35	46.22	57.14	52.7	43.36	52.27	56.44	47.92	51.35	47.67		57.06
Diana	50	48.6	50.47	56.37	44.98	49.67	46.21	43.97	46.86	50.12	54.67	/	50.06	47.6	52.14	49.57	48.46	46.85	50.29	48.92	48.1	51.5	48.16	47.29	49.03	46.54	46.6	49.89	47.15	56.48	45.99	49.38	48.31	54.1	48.56	55.74	37	52.6	50.54	46.51	48.75	49.29	42.54	47.12	49.76	51.62	49.58	46.51	49.07	49.53	53.49	47.11	48.04	46.67	49.13
