VS (below)	Alistar	Amumu	Bard	Blitzcrank	Brand	Braum	Elise	Fiddlesticks	Galio	Hwei	Janna	Karma	LeBlanc	Leona	Lulu	Lux	Maokai	Mel	Milio	Morgana	Nami	Nautilus	Neeko	Pantheon	Poppy	Pyke	Rakan	Rell	Renata Glasc	Senna	Seraphine	Shaco	Shen	Sona	Soraka	Swain	Tahm Kench	Taric	Teemo	Thresh	Vel'Koz	Xerath	Yuumi	Zilean	Zoe	Zyra
Alistar	/	49.8	53.43	50.3	57.68	51.23	51.46	49.69	50.77	49.08	54.87	54.18	47.5	50.69	49.27	49.89	50.25	48.32	53.79	51.74	51.69	48.71	52.45	50.72	51.54	50.23	50.18	50.53	51.23	54.78	51.3	56.5	56.97	53.08	51.59	55.53	52.51	52.04	44.83	50.77	55.43	48.87	46.75	52.24	49.1	50.94
Amumu	50.2	/	46.7	37.99	50.56	49.82	47.19				46.19	46.26		52.58	47.22	48.61	52.83	34.16	53.41	53.18	52.66	48.7	41.77	40	50	48.64	55.5	53.46	44.07	42.65	48.3	53.85		45.52	42.06	48.72	59.15	55.22		47.75	50.82	46.85	45.24	51.22	47.62	45.26
Bard	46.57	53.3	/	49.34	51.25	46.35	49.71	50.98	50	48.22	50.19	48.89	50.23	49.45	48.41	46.98	53.21	46.73	50.04	47.37	50.56	49.49	47.78	47.48	51.69	48.57	46.15	47.7	45.55	48.69	49.4	51.93	47.53	48.86	49.39	47.45	46.49	52.39	49.68	50.6	50.12	45.29	45.01	52.45	44.74	50.84
Blitzcrank	49.7	62.01	50.66	/	49.55	53.22	52.84	50.17	53.37	49.51	50.12	48.43	47.1	53.2	47.97	46.3	56.23	50.37	47.86	50.95	50.09	50.4	49.51	51.61	50.92	51.04	50.23	51.54	49.7	49.47	50.94	52.2	52.49	52.01	49.35	49.36	49.04	55.44	46.9	50.5	49.56	48.94	45.68	52.55	44.79	50.43
Brand	42.32	49.44	48.66	50.45	/	47.85	48	46.9	51	47.44	52.35	52.62	53.54	48.36	50.07	49.26	48.5	48.17	50.84	46.14	52.85	49.52	45.44	54.84	49.86	49.57	48.33	46.96	49.28	48.33	50.81	51.88	48.19	53.66	47.81	44.25	52.57	55.05	43.08	49.32	52.3	47.89	47.53	49.66	51.7	49.21
Braum	48.77	50.18	53.65	46.75	52.15	/	50.7	54.11	50.73	48.97	52.29	49.53	44.59	50.2	48.75	46.95	52.28	46.97	49.78	51.53	51.45	47.27	49.85	48.69	51.09	51.86	52.03	52.44	47.97	50.97	51.05	51.38	47.1	53.56	52.14	52.16	49.92	53.43	50.9	50.89	57.26	55.15	42.35	55.54	49.49	52
Elise	48.54	52.81	50.29	47.16	52	49.3	/	50.89	47.75	34.88	48.82	51.05	54.63	49.5	46.67	44.52	49.18	46.21	51.47	44.24	50.46	47.96	47.48	48.09	43.61	44.29	49.06	45.54	43.51	44.09	46	39.29	48.89	52.37	51.31	39.41	45.26	51.63	56.58	49.34	47.49	47.58	44.01	44.85	51.02	49.4
Fiddlesticks	50.31		49.02	49.48	53.1	45.89	49.11	/	47.83	51.35	52.14	49.15	42.86	47.69	46.95	51.18	53.98	42.5	50.1	45.13	49.55	47.23	44.44	47.89	49.39	49.71	49.41	46.7	44.05	46.84	50.85	53.13		50.94	52.38	39.64	50.56	49.18	50	48.31	51.9	48.91	44.44	48.72	33.96	56.69
Galio	49.23		50	46.63	49	49.27	52.25	52.17	/		47.69	50.47	52.38	54.18	52.85	41.88	52.94	40.41	55.34	51.52	52.37	52.66	47.09	52	57.14	47.28	46.51	44.37	51.56	53.08	48.99	60.34		54.7	51.81	55.67	51.95	50		47.9	51.54	56.36	45.28	50.57	56.25	50.94
Hwei	50.92		51.78	50.49	52.56	51.03	65.12	48.65		/	56.1	52.63		56.02	45.53	49.42	55.77	45.76	53.68	51.52	54.8	46.2	52.5	52.17	48.19	55.42	51.48	54.05	58.49	51.08	47.74	50.98		58.67	53.23	59.04	50	43.18		49.6	52.29	46.34	47.31	54.63	59.09	58.06
Janna	45.13	53.81	49.81	49.88	47.65	47.71	51.18	47.86	52.31	43.9	/	50.35	43.33	48.46	48.75	45.27	51.33	45.89	49.68	47.8	50.55	46.95	47.22	47.09	44.37	47.25	45.35	47.43	46.75	49.2	47.98	48.62	41.71	51.34	49.27	46.62	45.59	47.98	47.89	48.99	44.37	47.04	44.31	49.78	45.33	48.46
Karma	45.82	53.74	51.07	51.57	47.38	50.47	48.95	50.85	49.53	47.37	49.65	/	48	50.07	48.34	45.93	50.6	46.74	50.35	47.46	50.48	51.14	47.28	49.72	50.92	49.63	50.81	50.33	48.19	49.52	48.27	50.4	46.15	51.28	50.57	46.67	47.51	52.76	45.16	50.55	51.82	43.95	47.4	50.77	45.2	48.45
LeBlanc	52.5		49.77	52.9	46.46	55.41	45.37	57.14	47.62		56.67	52	/	52.43	49.9	49.21	56.32	44.44	56.44	51.67	50.84	48.58	44.3	52.58	54.95	45.45	49.4	50	43.28	48.66	57.42	56.6		55.22	54.13	46.53	51.28	57.78	54.29	54.29	45.18	51.18	48.93	49.32	44.26	44.44
Leona	49.31	47.42	50.55	46.75	51.64	49.78	50.5	52.31	45.82	43.98	51.54	49.93	47.57	/	47.21	48.44	51.32	42.48	51.17	52.7	49.1	46.24	49.43	49.63	50.13	49.69	48.75	46.83	50.98	49.17	50.22	53.27	49.67	48.86	52.48	51.98	45.25	50.29	48.03	49.3	50.98	48.59	42.64	50.08	49.55	49.79
Lulu	50.73	52.78	51.59	52.03	49.93	51.22	53.33	53.05	47.15	54.47	51.25	51.65	50.1	52.79	/	48.77	53.5	47.18	50.64	48.69	52.28	49.48	48.75	49.67	49.54	50.86	48.89	51.29	49.65	50.88	51.99	47.57	46.56	52.12	50.33	46.92	48.47	50.81	49.74	50.8	52.55	47.26	46.56	50.43	47.52	52.26
Lux	50.11	51.39	53.02	53.7	50.74	53.05	55.48	48.82	58.12	50.58	54.73	54.07	50.79	51.56	51.23	/	57.03	51.21	53.87	50	53.33	50	50.26	52.3	54.18	54.56	51.08	51.05	53.95	49.44	50.55	51.36	53.28	55.91	54.91	49.92	52.83	46.53	43.22	51.45	51.49	54.15	51.34	50.6	52.98	53.96
Maokai	49.75	47.17	46.79	43.77	51.5	47.72	50.82	46.02	47.06	44.23	48.67	49.4	43.68	48.68	46.5	42.97	/	45.42	50	50.69	50.38	49.71	50.28	45.07	48.13	46.87	46.44	47.98	50.56	51.23	50.96	46.94	46.55	48.67	48.16	50.23	51.02	42.76	38.71	50.8	47.62	51.13	46.41	52.68	41.94	48.28
Mel	51.68	65.84	53.27	49.63	51.83	53.03	53.79	57.5	59.59	54.24	54.11	53.26	55.56	57.52	52.78	48.79	54.58	/	55.35	52.1	54.43	57.61	53.4	55.54	56.34	50.53	54.49	54.73	52.4	51.14	49.41	57.87	56.1	56.69	54.18	50.44	56.47	58.03	50	51.27	54.09	53.79	53.5	59.06	55.61	52.09
Milio	46.21	46.59	49.96	52.14	49.16	50.22	48.53	49.71	44.66	46.32	50.32	49.65	43.56	48.83	49.36	46.13	50	44.65	/	46.23	50.48	49.88	46.74	47.56	49.71	47.96	48.65	50.54	43.82	49.84	47.38	48.91	45.06	50.32	50.5	45.11	46.96	50.9	42.39	50.33	49.54	49.74	44.92	48.87	51.89	47.99
Morgana	48.26	46.82	52.63	49.05	53.86	48.47	55.76	54.87	48.48	48.48	52.2	52.54	48.33	47.3	51.31	50	49.31	47.9	53.77	/	52.8	48.41	48.14	50.14	50.46	50.38	47.8	50.93	49.3	47.31	49.82	53.95	50.47	53.47	53.01	42.68	48.05	50.7	48.73	48.84	55.39	52.75	53.58	52.1	46.32	52.75
Nami	48.28	47.34	49.42	49.91	47.15	48.53	49.54	50.45	47.63	45.2	49.45	49.52	49.16	50.9	47.7	46.67	49.62	45.57	49.52	47.17	/	48.31	47.01	48.53	48.18	47.99	46.73	49.57	46.49	48.28	48.28	46.36	46.8	50.91	48.86	45.14	46.49	49.74	49.06	49.41	48.33	46.37	45.96	49.5	47.71	49.52
Nautilus	51.29	51.3	50.51	49.6	50.48	52.73	52.04	52.77	47.34	53.8	53.05	48.86	51.42	53.76	50.51	50	50.29	42.39	50.12	51.59	51.69	/	51.94	52.07	49.48	48.48	52.63	52.41	54.43	50.59	50.39	51.17	54.31	52.57	52.96	53.48	48.68	55.8	48.48	53.03	52.76	46.21	43.76	52.02	48.94	50.04
Neeko	47.55	58.23	52.22	50.49	54.56	50.15	52.52	55.56	52.91	47.5	52.78	52.72	55.7	50.57	51.25	49.74	49.72	46.6	53.26	51.86	52.99	48.06	/	53.38	51.81	48.66	48.13	48.37	52.55	52.28	54.21	50.72	44.44	50.39	52.79	52.39	48.98	56.05	43.84	49.09	53.6	50.07	45.53	50.75	44.36	51.72
Pantheon	49.28	60	52.52	48.39	45.16	51.31	51.91	52.11	48	47.83	52.91	50.28	47.42	50.3	50.33	47.7	54.93	44.46	52.44	49.86	51.47	47.93	46.62	/	51.65	50.12	48.82	52.51	49.87	49	49.6	47.29	56.64	48.2	53.54	52.66	45.26	57.52	47.24	52.65	54.98	46.47	46.24	54.06	45.99	48.75
