VS (below)	Aatrox	Akali	Ambessa	Aurora	Camille	Cassiopeia	Cho'Gath	Darius	Dr. Mundo	Fiora	Gangplank	Garen	Gnar	Gragas	Gwen	Heimerdinger	Illaoi	Irelia	Jax	Jayce	K'Sante	Kayle	Kennen	Kled	Malphite	Mordekaiser	Nasus	Olaf	Ornn	Pantheon	Poppy	Quinn	Renekton	Riven	Rumble	Ryze	Sett	Shen	Singed	Sion	Swain	Teemo	Tryndamere	Urgot	Varus	Vayne	Vladimir	Volibear	Warwick	Wukong	Yasuo	Yone	Yorick	Zaahen	Zac
Aatrox	/	50.06	50.75	52.94	51.22	49.39	48.39	52.12	45.82	53.91	48.79	50.52	51.72	51.27	52.61	53.89	50.66	52.84	50.26	50.48	48.95	53.09	55.28	53.07	54.6	49.56	43.92	47.96	49.85	50.04	52.32	52.19	50.1	53.25	49.09	45.09	49.39	50.51	55.39	47.87	53.98	48.71	52.74	52.35	51.55	53.13	48.73	51.26	54.71	51.87	50.63	49.65	53.61	51.87	50
Akali	49.94	/	47.56	36.73	47.65	50.91	51.03	52.15	48.32	53.12	53.64	51.23	55.67	44.9	48.1	44.33	47.79	51.04	50.42	51.11	45.48	51.72	50.45	55.26	54.04	51.25	44.98	43.66	55.56	49.81	54.39	53.59	51.51	58.06	49.04	53.15	50	52.77	51.79	55.18	54.55	50.36	47.75	62.15	53.78	55.87	49.13	42.66	57.26	49.4	49.74	47.07	51.9	49.67	45.31
Ambessa	49.33	52.44	/	46.55	52.21	52.94	49.4	50.33	47.56	49.72	51.73	50.68	51.14	46.59	50.38	53.82	50.36	55.17	49.98	49.6	47.26	52.48	56.74	53.96	53.78	49.34	47.81	51.21	50.26	53.54	54.74	51.39	53.19	53.85	51.23	46.68	51.58	51.02	53.53	48.03	52.41	54.58	52.46	51.76	53.42	50.81	48.79	49.55	55.98	55.07	47.21	49.98	53.03	54.06	53.42
Aurora	46.63	63.27	53.61	/	45.9	49.44	50	48.81	51.6	49.26	51.55	49.33	51.06	53.91	48.32	53.16	42.67	53.42	51.72	55.16	48.73	47.74	55.64	54.43	57.48	45.95	59.62	53.85	50.62	44.25	44.74	58.14	54.47	57.07	47.83	49.38	45.88	52.08	55.56	54.66		48.42	45.69	47.06	50	51.96	55.83	36.17	52.46	55.56	49.07	55.5	53.6	47.6	
Camille	48.71	52.23	47.74	54.55	/	47.69	50.08	50.36	52.06	49.55	49.33	45.49	47.58	51.78	49.76	51.66	49.12	49.42	54.41	49.21	46.73	50.58	47.26	49.13	54.56	50.83	50.12	47.04	47.72	48	51.81	50	49.94	51.16	50.6	44.62	52.65	53.02	49.85	51.41	60.33	57.45	47.42	49.18	52.87	48.76	56.05	50.65	50.41	52.2	47.11	47.51	46.9	51.44	51.41
Cassiopeia	50.76	49.09	47.22	50	52.27	/	41.1	37.93	55.8	54.68	47.62	57.71	45.64	51.16	54.86	48.89	51.39	53.48	49.6	50.69	45.15	51.66	50	46.43	52.14	43.58	38.26	56.93	56.32	52.14	46.94	59	41.82	49.44	42.96	34.91	46.26	48	51.96	46.69	55.56	44.4	50.53	51.91	42.37	53.85	46.29	48.04	42.59	52.63	46.27	41.83	50	50.3	44.74
Cho'Gath	51.7	48.63	50.47	50	49.75	58.9	/	47.35	56.01	52.35	44.82	47.58	49.12	48.86	51.27	47.62	56.96	49.39	47.53	49.07	47.14	51.29	48.44	53.18	48.73	50.59	52.92	52.44	50.59	51.29	52.98	53.57	48.67	50.58	44.06	48.57	54.52	49.86	50.58	50	56.54	47.84	46.53	48.78	51.72	56.6	46.52	49.79	50	47.13	47.86	48.68	50.5	50.77	48.98
Darius	47.83	47.93	49.65	51.19	49.57	62.07	52.61	/	53.09	48.96	50.62	47.96	49.35	49.28	49.73	53.01	47.72	48.73	52.47	53.28	47.49	55.09	52.28	51.49	52.08	48.21	50.65	49.67	51.34	52.64	51.2	55.58	49.9	55.35	50.52	53.27	51.24	49.3	51.4	48.92	49.48	54.85	47.92	51.56	50.32	52.81	51.44	48.72	48.62	50.55	43.87	47.85	53.7	52.09	45.07
Dr. Mundo	54.18	51.81	52.44	47.85	47.95	44.2	44.08	46.88	/	53.58	47.77	51.15	49.57	46.92	57.24	50.58	52.26	54.85	45.45	45.74	47.97	48.8	44.21	55.22	45.84	49.81	52.27	51.97	47.99	48.48	52.17	49.62	44.34	50.9	53.67	45.85	51.95	50.67	52.69	48.19	47.7	51.43	51.13	48.82	41.45	48.08	52.69	48.04	54.3	49.46	51.89	52.15	54.19	52.25	52.76
Fiora	46.07	46.88	50.28	50.98	50.41	45.59	47.6	51.07	46.32	/	52.89	46.65	49.79	50.3	48.61	55.47	52.43	49.44	48.68	48.77	42.48	53.26	50.38	50	55.44	47.1	46.44	49.58	46.58	45.85	53.19	53.21	49.75	51.92	52.44	52.85	51.62	48.46	48.69	46.85	46.49	50.96	48.8	53.61	47.8	50	48.43	49.08	52.25	49.06	48.41	45.12	46.42	48.82	46.35
