Play As (left) / Vs (top)	Jinx	Caitlyn	Kai'Sa	Ezreal	Aphelios	Jhin	Yunara	Smolder	Lucian	Twitch	Miss Fortune	Ashe	Sivir	Vayne	Varus	Samira	Tristana	Draven	Corki	Zeri	Xayah	Swain	Kog'Maw	Nilah	Ziggs	Veigar	Brand	Yasuo	Kalista	Senna	Mel	Seraphine	Lux	Aurelion Sol
Jinx	/	51.76	54.43	53.36	52.34	51.88	53.77	51.74	52.33	48.53	50.79	50.90	52.22	51.89	50.51	54.43	51.87	52.24	52.46	53.92	52.20	47.77	48.90	50.10	48.44	46.57	47.10	48.10	55.78	51.33	51.86	48.36	44.95	49.57
Caitlyn	48.24	/	51.25	51.02	51.20	49.31	53.58	49.97	51.27	48.43	49.09	49.09	48.85	50.70	49.42	49.89	49.86	50.27	51.39	53.03	51.34	45.45	49.15	46.57	45.67	44.59	45.26	45.76	51.57	50.35	50.81	43.73	43.78	45.91
Kai'Sa	45.57	48.75	/	52.90	46.62	51.50	49.37	48.63	49.49	48.57	47.53	47.15	48.11	49.06	49.65	47.27	48.91	47.78	49.64	48.74	47.99	43.78	44.67	43.84	50.27	45.26	45.78	47.33	50.57	52.69	50.17	51.93	52.56	49.29
Ezreal	46.64	48.98	47.10	/	47.77	47.32	49.91	47.25	47.40	46.96	47.32	47.03	44.90	45.65	48.42	45.83	46.92	47.90	49.92	46.90	47.66	45.22	44.53	43.12	46.72	44.73	46.22	41.32	46.80	47.40	51.52	43.23	44.58	45.33
Aphelios	47.66	48.80	53.38	52.22	/	49.89	51.78	50.18	51.26	47.77	46.96	47.78	50.26	51.58	48.78	48.05	50.39	49.98	50.24	52.14	48.42	44.10	47.21	45.65	45.41	43.89	44.41	45.88	53.25	47.68	48.36	46.78	43.83	48.19
Jhin	48.12	50.69	48.50	52.68	50.11	/	51.17	50.41	50.12	47.86	50.34	48.99	49.17	48.07	50.42	47.88	47.95	50.05	51.04	49.63	51.47	47.21	46.00	46.85	49.50	47.92	48.98	45.79	50.48	47.53	52.28	46.49	48.08	49.90
Yunara	46.23	46.41	50.62	50.09	48.22	48.83	/	46.70	48.53	45.71	46.91	47.32	50.05	47.72	47.56	48.34	47.00	49.32	48.29	48.42	48.46	45.61	43.44	44.25	45.84	42.37	42.99	48.04	55.80	45.16	49.44	46.33	46.33	44.66
Smolder	48.26	50.03	51.37	52.76	49.82	49.59	53.29	/	52.22	46.45	50.24	49.72	47.53	51.23	50.36	49.21	48.22	50.71	51.49	49.76	52.54	47.62	47.89	49.97	46.88	48.29	44.91	48.11	53.28	44.90	50.63	46.16	47.06	46.39
Lucian	47.66	48.73	50.52	52.59	48.74	49.88	51.47	47.77	/	49.31	48.46	47.68	50.12	49.41	50.46	48.62	50.42	49.89	50.05	51.69	48.34	45.13	45.02	45.83	48.42	43.91	47.00	47.36	52.91	46.96	51.12	48.23	50.58	47.85
Twitch	51.46	51.57	51.42	53.04	52.23	52.14	54.28	53.55	50.69	/	52.48	51.25	55.37	50.54	51.95	49.76	49.93	49.85	49.26	50.38	51.22	45.93	48.79	42.59	49.65	49.92	46.88	46.11	50.07	47.19	49.18	47.78	47.17	49.40
Miss Fortune	49.21	50.91	52.46	52.68	53.03	49.66	53.09	49.76	51.55	47.52	/	51.15	49.23	51.30	52.04	51.44	50.30	51.02	49.85	52.12	52.56	46.59	49.31	45.37	46.69	48.20	44.92	43.92	53.58	53.47	45.99	49.65	50.37	48.98
Ashe	49.11	50.90	52.84	52.97	52.22	51.00	52.68	50.28	52.32	48.75	48.86	/	51.96	51.12	50.61	50.15	49.88	51.15	51.15	50.59	49.80	44.45	45.84	47.53	47.00	50.70	47.90	47.52	55.33	50.71	49.71	50.45	46.67	44.19
Sivir	47.78	51.14	51.89	55.09	49.74	50.83	49.94	52.47	49.87	44.60	50.76	48.04	/	48.43	53.78	50.34	49.21	49.68	51.88	48.44	50.60	49.59	46.87	50.31	49.98	49.46	48.86	47.27	55.31	47.33	51.47	50.36	51.06	45.45
Vayne	48.11	49.30	50.94	54.35	48.43	51.93	52.29	48.77	50.59	49.47	48.69	48.86	51.57	/	50.74	48.81	49.71	51.00	48.61	49.96	48.83	47.17	48.60	51.28	49.88	47.72	50.19	51.20	52.22	50.65	55.56	47.42	49.86	52.52
Varus	49.49	50.58	50.36	51.58	51.22	49.58	52.43	49.64	49.53	48.05	47.96	49.39	46.21	49.23	/	48.78	49.74	48.30	50.55	48.25	47.42	48.09	46.94	47.57	45.80	46.53	44.92	45.85	50.29	53.68	50.18	50.36	44.25	43.13
Samira	45.57	50.10	52.73	54.17	51.95	52.12	51.66	50.79	51.38	50.24	48.57	49.85	49.63	51.19	51.22	/	49.31	53.36	48.95	48.90	46.21	43.83	47.44	43.62	48.25	42.60	45.32	51.62	59.60	52.70	47.84	52.51	46.92	40.86
Tristana	48.12	50.14	51.09	53.08	49.61	52.04	53.00	51.78	49.59	50.07	49.70	50.12	50.79	50.27	50.24	50.69	/	48.96	50.86	53.10	50.11	47.21	47.52	46.72	47.38	45.09	45.28	45.65	57.31	59.02	54.71	49.77	44.87	46.60
Draven	47.76	49.73	52.22	52.10	50.02	49.95	50.68	49.29	50.11	50.15	48.98	48.82	50.32	49.00	51.70	46.64	51.04	/	51.55	51.69	50.30	44.86	48.26	47.26	46.23	44.35	44.80	44.76	55.79	52.94	44.75	48.36	48.91	52.60
Corki	47.54	48.61	50.36	50.07	49.76	48.96	51.72	48.50	49.96	50.74	50.17	48.85	48.13	51.39	49.45	51.05	49.12	48.45	/	49.26	47.61	45.37	45.53	49.38	46.94	44.24	45.76	49.25	50.58	51.53	49.57	48.01	44.63	47.11
Zeri	46.08	46.96	51.26	53.08	47.86	50.37	51.58	50.24	48.31	49.62	47.88	49.41	51.56	50.04	51.75	51.10	46.90	48.27	50.70	/	48.14	51.61	45.59	48.12	46.47	48.74	45.51	52.80	52.35	42.99	56.20	49.82	60.14	46.28
Xayah	47.79	48.66	52.01	52.33	51.60	48.53	51.54	47.46	51.66	48.78	47.44	50.20	49.40	51.19	52.58	53.79	49.89	49.70	52.39	51.86	/	44.41	47.81	51.03	44.44	43.43	45.75	52.99	51.67	49.09	53.57	43.19	52.29	54.63
Swain	52.23	54.55	56.21	54.79	55.90	52.79	54.39	52.38	54.87	54.04	53.43	55.58	50.41	52.83	51.91	56.17	52.79	55.14	54.63	48.39	55.59	/	49.89	54.96	50.45	47.25	45.51	52.09	57.15	53.09	53.91	48.58	42.50	53.54
Kog'Maw	51.10	50.85	55.33	55.47	52.79	54.00	56.56	52.08	54.98	51.21	50.69	54.16	53.13	51.40	53.06	52.56	52.48	51.79	54.47	54.41	52.19	50.11	/	45.30	47.58	46.67	49.26	45.74	56.65	61.84	51.57	46.84	50.52	41.79
Nilah	49.89	53.43	56.16	56.88	54.34	53.15	55.73	50.03	54.17	57.41	54.63	52.47	49.69	48.72	52.43	56.38	53.28	52.74	50.62	51.88	48.97	45.04	54.70	/	53.04	47.61	42.32	56.93	56.45	51.81	51.20	50.97	52.90	44.57
Ziggs	51.52	54.33	49.73	53.28	54.59	50.47	54.12	53.10	51.58	50.35	53.31	53.00	50.02	50.12	54.23	51.75	52.62	53.77	53.06	53.53	55.56	49.55	52.42	46.96	/	46.86	46.94	49.65	60.20	52.38	54.20	48.56	47.40	45.74
Veigar	53.49	55.48	54.58	55.51	56.06	52.04	57.74	51.69	56.33	49.91	51.97	49.20	50.45	52.13	53.45	57.44	55.26	55.53	56.01	51.51	56.79	52.22	52.92	52.25	52.20	/	50.00	55.16	54.05	70.13	53.85	47.68	48.91	53.33
Brand	52.90	54.74	54.22	53.78	55.55	51.02	57.01	55.09	53.00	53.12	55.08	52.10	51.14	49.81	55.01	54.68	54.72	55.20	54.24	54.49	54.25	54.49	50.74	57.68	53.06	50.21	/	43.27	51.19	52.24	59.50	48.20	48.53	43.75
Yasuo	51.90	54.22	52.67	58.64	54.12	54.21	51.96	51.89	52.64	53.89	56.08	52.48	52.68	48.80	54.15	48.31	54.35	55.24	50.75	47.20	47.01	47.91	54.26	43.07	50.35	45.58	56.73	/	49.12	49.41	53.85	54.59	47.30	44.87
Kalista	44.25	48.43	49.43	53.15	46.75	49.48	44.16	46.72	47.09	49.93	46.42	44.67	44.69	47.78	49.71	40.40	42.69	44.21	49.42	47.65	48.33	42.85	43.35	43.55	39.80	44.96	48.81	50.88	/	43.24	54.67	53.26	57.58	52.94
Senna	48.67	49.65	47.31	52.60	52.32	52.47	54.84	55.10	53.04	52.81	46.53	49.29	52.67	49.35	46.32	47.30	40.98	47.06	48.47	57.01	50.91	46.91	38.16	48.19	47.62	28.00	47.76	50.59	56.76	/	52.38	39.58	/	/
Mel	48.26	49.36	49.69	48.16	51.67	47.90	50.65	49.66	48.89	50.48	54.04	50.47	48.35	44.37	49.88	52.12	45.85	55.25	50.11	42.97	46.26	45.53	48.06	48.59	46.01	46.15	41.73	46.53	45.45	48.94	/	50.95	44.05	42.22
Seraphine	51.41	56.13	47.90	56.96	53.28	53.41	53.71	53.85	51.54	52.13	50.14	49.29	49.70	52.34	49.64	47.74	50.34	51.52	51.70	49.46	57.01	51.21	53.37	49.28	50.89	52.32	51.80	45.41	46.74	59.18	49.05	/	51.04	52.17
Lux	55.05	56.22	47.44	55.42	56.17	51.92	53.67	52.94	49.42	52.83	49.63	53.33	48.94	50.14	55.75	53.08	55.13	51.09	55.37	39.86	47.71	57.50	49.48	47.10	52.60	51.09	51.47	52.70	42.42	/	55.95	48.96	/	47.83
Aurelion Sol	50.43	54.09	50.71	54.67	51.81	50.10	55.34	53.61	52.15	50.60	50.85	55.81	54.55	47.48	56.87	59.14	53.40	47.40	52.89	53.72	45.37	46.00	58.21	55.43	54.26	46.67	56.25	55.13	47.06	/	57.78	47.83	52.17	/
