lane,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
jungle,Elise,elise,51.67,Viego,viego,54.11,2689,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Kha'Zix,khazix,51.39,2524,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Lee Sin,leesin,53.47,2005,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Xin Zhao,xinzhao,49.23,1294,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Jarvan IV,jarvaniv,48.71,1203,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Diana,diana,47.56,1024,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Vi,vi,50.05,1011,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Ekko,ekko,53.51,955,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Briar,briar,48.16,870,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Master Yi,masteryi,52.93,835,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Kayn,kayn,52.77,813,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Nocturne,nocturne,46.47,794,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Rengar,rengar,49.01,759,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Hecarim,hecarim,50.93,756,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Shaco,shaco,48.05,743,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Ambessa,ambessa,54.58,742,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Zaahen,zaahen,53.21,701,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Talon,talon,48.57,663,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Dr. Mundo,drmundo,51.44,661,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Rek'Sai,reksai,51.71,644,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Naafiri,naafiri,49.59,613,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Sylas,sylas,50.94,583,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Zac,zac,47.50,579,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Graves,graves,52.58,561,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Fiddlesticks,fiddlesticks,50.40,504,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Volibear,volibear,52.60,500,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Gwen,gwen,54.03,496,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Jayce,jayce,55.18,473,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Evelynn,evelynn,51.99,452,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Nunu & Willump,nunu,48.77,447,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Qiyana,qiyana,53.96,404,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Nidalee,nidalee,51.41,389,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Wukong,monkeyking,48.17,355,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Kindred,kindred,47.71,350,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Jax,jax,53.13,335,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Lillia,lillia,52.41,332,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Bel'Veth,belveth,47.35,321,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Sejuani,sejuani,44.59,314,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Zed,zed,55.27,313,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Amumu,amumu,49.84,311,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
jungle,Elise,elise,51.67,Warwick,warwick,50.16,307,https://op.gg/lol/champions/elise/counters/jungle,2026-02-13T18:21:37.307613+00:00
