Play As (left) / Vs (top)	Elise	Viego	Kha'Zix	Lee Sin	Xin Zhao	Jarvan IV	Diana	Vi	Ekko	Briar	Master Yi	Kayn	Nocturne	Rengar	Hecarim	Shaco	Ambessa	Zaahen	Talon	Dr. Mundo	Rek'Sai	Naafiri	Sylas	Zac	Graves	Fiddlesticks	Volibear	Gwen	Jayce	Evelynn	Nunu & Willump	Qiyana	Nidalee	Wukong	Kindred	Jax	Lillia	Bel'Veth	Sejuani	Zed	Amumu	Warwick	Karthus	Malphite	Udyr	Rammus	Taliyah	Ivern	Zyra	Aatrox	Shyvana	Pantheon	Trundle	Nasus	Gragas	Skarner
Elise	/	55.25	50.98	52.72	48.24	48.32	48.43	49.54	52.29	47.99	53.50	53.85	45.57	49.46	50.44	47.85	53.60	53.31	49.18	49.70	49.88	48.50	53.75	48.72	53.40	46.92	49.74	53.15	52.64	50.43	48.75	52.61	51.08	47.80	52.60	52.71	51.23	49.05	48.81	51.35	49.54	49.76	49.66	51.58	53.33	43.37	51.69	46.97	44.08	52.02	47.35	55.31	47.50	52.38	53.81	51.40
Viego	44.75	/	46.30	47.60	48.97	50.23	49.83	50.49	48.22	49.04	49.27	50.27	49.65	47.53	50.27	46.57	52.45	47.93	47.22	47.44	45.98	49.30	51.90	46.77	50.29	46.92	48.54	50.09	49.70	44.93	46.66	48.53	46.71	47.51	49.07	47.79	51.61	47.13	47.04	49.82	45.82	47.82	46.91	48.33	49.29	42.45	49.62	47.75	45.49	48.94	50.93	48.62	50.47	45.63	52.42	51.62
Kha'Zix	49.02	53.69	/	50.00	50.03	51.76	48.96	50.66	51.86	50.10	52.74	52.57	48.97	48.37	50.98	49.33	53.13	51.90	49.99	49.68	47.90	47.87	53.02	50.35	52.23	49.00	50.15	51.04	54.74	50.96	49.47	52.59	49.05	51.22	52.72	54.46	52.47	52.03	48.05	53.35	50.40	49.07	49.69	52.96	51.06	49.85	52.10	49.34	47.57	51.78	54.52	51.16	54.13	48.65	50.98	46.48
Lee Sin	47.28	52.40	49.99	/	49.53	49.71	48.53	50.74	48.81	46.73	50.29	51.21	49.25	50.90	52.21	47.97	53.56	48.81	51.77	48.13	45.74	46.25	50.21	47.09	49.18	47.57	47.37	46.48	50.97	48.24	50.08	52.78	50.97	49.85	49.83	51.12	50.84	48.60	49.01	51.78	48.55	49.22	49.57	50.80	51.03	47.02	48.63	44.02	46.51	50.02	48.83	50.94	46.88	48.00	49.96	45.65
Xin Zhao	51.76	51.01	49.97	50.47	/	51.50	50.68	51.92	49.70	49.26	48.46	50.62	51.18	52.07	51.94	49.44	52.25	47.37	50.00	48.76	49.00	51.82	50.92	48.55	52.32	48.66	47.68	45.77	54.62	48.48	49.78	53.82	52.65	51.16	52.60	47.76	49.17	52.48	49.46	49.67	47.58	51.91	48.68	50.84	49.28	52.73	50.90	48.16	50.66	50.60	48.47	52.09	47.56	43.70	49.72	52.87
Jarvan IV	51.68	49.77	48.24	50.30	48.50	/	48.90	51.82	49.27	49.81	47.87	51.38	51.31	50.02	50.60	49.97	51.97	49.62	49.08	50.02	48.42	52.07	51.12	50.44	50.98	50.56	49.22	46.11	51.93	49.13	52.61	53.21	51.18	50.12	49.06	49.22	50.33	48.24	51.48	50.70	48.70	48.38	49.64	53.88	51.25	52.27	49.21	50.25	49.59	47.77	52.08	51.15	49.69	46.42	49.46	47.10
Diana	51.58	50.17	51.04	51.47	49.32	51.10	/	52.49	50.35	48.01	48.00	52.16	49.31	52.90	51.64	51.35	52.04	49.18	52.28	51.95	49.73	55.37	52.74	49.74	54.10	50.60	45.89	47.69	53.83	50.59	50.85	55.25	52.78	51.87	48.44	49.41	52.41	48.20	51.99	52.32	51.03	51.32	52.91	57.02	49.73	50.19	51.67	47.93	51.12	50.12	51.48	51.31	48.42	44.60	52.05	51.80
Vi	50.46	49.51	49.34	49.26	48.08	48.18	47.51	/	47.78	48.02	49.20	50.34	48.97	48.08	48.70	47.80	54.31	48.77	49.29	48.86	46.72	51.28	51.05	49.08	50.02	49.19	47.61	47.06	50.43	50.00	49.13	51.45	49.33	48.83	49.27	48.02	48.70	48.36	50.34	49.91	49.15	49.21	50.00	50.76	51.98	49.68	48.01	46.33	45.50	52.33	48.30	55.63	48.83	42.70	51.01	48.89
Ekko	47.71	51.78	48.14	51.19	50.30	50.71	49.65	52.22	/	52.58	50.59	50.79	52.81	49.00	50.79	49.10	52.14	51.88	50.59	50.04	48.10	52.27	50.48	50.11	51.49	49.37	50.23	51.26	52.09	47.85	49.48	51.74	50.38	51.55	52.11	51.55	50.71	50.73	49.65	50.65	50.11	51.86	51.28	55.00	52.70	48.71	50.85	48.23	47.72	51.85	53.55	51.92	52.66	47.21	52.42	51.87
Briar	52.01	50.97	49.91	53.28	50.74	50.20	51.99	51.98	47.42	/	47.99	51.86	49.13	50.88	50.36	50.29	54.23	48.65	52.53	53.78	46.39	50.49	55.77	49.54	50.51	49.71	47.76	48.96	52.36	51.31	49.34	55.46	52.31	50.75	49.91	48.84	52.11	51.75	49.39	51.35	48.79	51.29	48.21	51.84	53.52	49.96	50.51	48.40	49.53	52.41	51.84	55.34	51.03	45.29	47.30	52.60
Master Yi	46.50	50.71	47.26	49.71	51.54	52.13	51.99	50.80	49.41	52.01	/	52.19	52.68	54.00	51.56	45.16	55.84	51.37	48.94	49.95	46.26	52.22	51.06	46.00	50.87	49.95	49.31	52.59	53.85	48.56	51.60	52.74	49.50	48.40	48.66	48.76	51.50	50.45	50.00	54.12	49.19	52.08	52.81	54.92	52.45	46.07	52.88	48.24	44.45	52.20	51.29	49.16	53.64	53.20	49.89	51.89
Kayn	46.15	49.72	47.43	48.79	49.38	48.62	47.84	49.66	49.21	48.14	47.81	/	49.42	50.12	50.59	49.36	53.15	50.20	48.34	51.04	45.48	53.47	52.24	49.96	49.34	48.15	47.00	51.30	49.72	47.06	49.53	51.22	48.57	47.56	47.97	51.56	49.34	50.36	51.05	47.73	51.49	52.23	50.35	50.67	48.28	45.62	52.99	43.81	45.16	48.84	48.50	47.89	49.81	49.83	49.51	50.00
Nocturne	54.43	50.37	51.02	50.75	48.82	48.69	50.69	51.03	47.17	50.87	47.32	50.58	/	53.13	50.74	52.61	49.01	46.17	50.69	47.38	49.60	56.08	51.67	47.99	51.66	49.72	49.85	43.51	53.64	46.82	48.58	52.47	50.72	50.68	51.43	47.48	48.80	52.46	48.18	50.89	51.66	51.29	49.76	51.50	48.49	46.43	54.18	49.46	50.00	49.05	51.37	47.20	49.76	48.68	52.99	51.90
Rengar	50.52	52.46	51.63	49.10	47.93	49.96	47.10	51.92	50.99	49.12	45.97	49.88	46.90	/	48.50	50.23	50.83	50.51	54.01	48.48	45.51	46.86	49.88	46.79	51.36	49.78	46.63	47.16	54.63	52.59	50.91	60.71	51.45	48.57	47.97	49.22	52.10	48.46	46.27	52.43	47.43	48.21	52.29	50.65	50.42	44.17	53.34	51.32	53.46	48.13	49.30	51.03	47.54	45.25	50.68	50.68
Hecarim	49.56	49.73	49.02	47.79	48.08	49.40	48.36	51.30	49.21	49.64	48.44	49.41	49.23	51.50	/	49.80	53.02	47.97	50.49	51.36	47.52	57.32	46.60	49.52	50.00	47.00	46.85	49.28	51.34	47.98	48.88	53.41	50.17	47.58	48.10	49.79	47.93	48.45	51.50	49.28	46.99	49.24	51.87	51.53	45.34	48.87	49.46	46.93	49.25	46.93	50.83	47.79	49.79	47.18	50.31	52.67
Shaco	52.15	53.42	50.67	52.03	50.56	50.03	48.65	52.20	50.90	49.71	54.84	50.64	47.39	49.77	50.20	/	50.55	52.22	50.73	50.81	47.75	47.53	54.60	49.56	52.24	47.75	51.27	50.63	54.15	51.62	48.05	53.10	52.38	52.82	51.27	51.50	51.25	49.36	53.23	51.64	51.36	55.17	49.65	55.60	48.62	47.53	55.08	49.56	47.49	55.92	51.48	53.91	55.35	48.54	52.30	55.20
Ambessa	46.40	47.55	46.87	46.45	47.75	48.03	47.96	45.69	47.88	45.77	44.16	46.85	50.99	49.17	46.95	49.45	/	48.44	49.08	52.80	46.12	50.47	49.86	47.79	47.54	42.54	45.71	47.96	47.49	47.90	46.69	50.00	44.18	48.76	45.73	48.98	52.11	45.47	45.01	48.42	43.91	48.46	48.66	47.46	47.55	48.51	48.25	48.80	49.15	46.51	48.81	45.44	48.74	53.90	47.83	45.33
Zaahen	46.69	52.07	48.10	51.19	52.63	50.38	50.82	51.23	48.12	51.35	48.63	49.80	53.83	49.49	52.03	47.78	51.56	/	48.87	49.45	47.54	49.58	52.78	50.00	49.80	49.51	46.15	49.92	51.18	48.70	51.59	51.51	46.98	53.32	46.76	50.48	53.27	49.63	50.78	46.82	53.04	49.77	51.57	51.56	48.97	49.05	45.14	43.01	44.50	56.26	51.81	53.77	51.17	51.32	54.81	48.62
Talon	50.82	52.78	50.01	48.23	49.95	50.92	47.72	50.71	49.41	47.47	51.06	51.66	49.31	45.99	49.51	49.27	50.92	51.13	/	47.96	46.06	53.04	51.37	49.73	52.65	45.75	50.00	51.10	54.99	47.79	46.67	50.66	48.05	50.47	50.57	52.55	49.95	48.52	48.65	51.38	45.54	47.39	48.33	53.03	49.53	48.90	48.97	48.12	47.35	48.62	50.11	48.01	48.32	45.65	48.02	47.39
Dr. Mundo	50.30	52.56	50.32	51.87	51.24	49.98	48.07	51.14	49.97	46.22	50.00	48.96	52.62	51.52	48.64	49.19	47.20	50.55	52.04	/	48.84	48.33	47.11	46.12	52.46	49.86	47.86	45.31	55.73	47.37	44.30	58.58	51.28	54.06	50.89	52.07	46.43	46.48	50.63	53.95	54.30	50.99	53.00	55.82	48.80	50.78	53.41	42.62	49.14	48.58	57.00	50.89	50.85	47.47	48.21	50.69
Rek'Sai	50.12	54.02	52.10	54.26	51.00	51.58	50.29	53.28	51.90	53.57	53.74	54.52	50.40	54.49	52.48	52.25	53.88	52.46	53.94	51.16	/	54.52	51.97	50.86	52.27	49.95	49.81	51.30	53.99	49.91	52.41	54.74	53.50	53.60	48.62	53.16	52.98	53.34	53.48	54.77	50.36	49.29	52.64	57.76	50.35	53.11	54.98	49.73	51.95	52.26	52.72	57.26	47.63	55.84	52.26	54.71
Naafiri	51.50	50.70	52.12	53.75	48.18	47.93	44.63	48.72	47.71	49.51	47.78	46.53	43.92	53.14	42.68	52.47	49.53	50.42	46.96	51.67	45.48	/	52.44	46.87	54.08	46.17	50.23	47.64	53.69	47.27	47.34	50.00	50.67	47.58	51.03	49.95	50.45	48.40	51.61	48.81	50.75	49.78	51.28	51.99	46.94	49.43	50.80	50.92	46.23	49.81	52.18	48.75	48.60	53.73	50.25	52.63
Sylas	46.25	48.09	46.98	49.79	49.08	48.89	47.25	48.95	49.52	44.23	48.94	47.76	48.33	50.12	53.40	45.40	50.14	47.22	48.63	52.89	48.03	47.56	/	45.81	48.64	48.65	46.65	43.95	50.78	51.08	49.80	51.91	50.52	47.81	47.58	48.46	47.68	43.83	48.24	49.31	50.09	47.14	48.70	60.15	53.60	44.59	46.46	43.50	45.46	50.58	50.11	49.37	52.93	56.15	47.82	46.86
