lane,patch,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
mid,16.03,Zed,zed,50.48,Ahri,ahri,49.24,5952,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Yasuo,yasuo,49.56,5018,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Akali,akali,47.34,3992,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Katarina,katarina,49.58,3574,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Sylas,sylas,48.93,3546,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Ryze,ryze,53.38,2765,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Syndra,syndra,54.19,2683,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Malzahar,malzahar,49.47,2628,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Viktor,viktor,49.19,2596,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Orianna,orianna,51.16,2365,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Lissandra,lissandra,49.43,2349,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Yone,yone,53.40,2234,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Twisted Fate,twistedfate,48.32,2169,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Fizz,fizz,49.18,2078,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,LeBlanc,leblanc,50.77,2074,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Ekko,ekko,49.90,2022,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Diana,diana,46.42,2012,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Zoe,zoe,46.96,1959,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Xerath,xerath,46.52,1827,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Malphite,malphite,45.89,1752,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Kassadin,kassadin,54.28,1695,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Qiyana,qiyana,47.59,1639,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Vladimir,vladimir,51.83,1615,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Naafiri,naafiri,50.53,1605,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Lux,lux,50.03,1579,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Anivia,anivia,48.40,1560,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Galio,galio,50.64,1554,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Veigar,veigar,51.97,1547,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Irelia,irelia,46.05,1531,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Akshan,akshan,48.34,1502,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Vex,vex,45.90,1403,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Hwei,hwei,50.53,1231,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Aurora,aurora,53.67,1105,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Mel,mel,54.83,1098,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Azir,azir,54.75,1032,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Talon,talon,50.35,1011,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Aurelion Sol,aurelionsol,50.76,991,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Taliyah,taliyah,55.58,887,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Swain,swain,49.35,616,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Sion,sion,49.33,598,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Cassiopeia,cassiopeia,55.07,552,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Annie,annie,51.84,517,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Vel'Koz,velkoz,50.68,515,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Pantheon,pantheon,54.44,428,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Kayle,kayle,46.80,391,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Cho'Gath,chogath,47.14,384,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Ziggs,ziggs,55.46,339,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Brand,brand,51.20,332,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Jayce,jayce,44.14,324,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Kennen,kennen,47.06,289,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Zed,zed,50.48,Smolder,smolder,61.46,288,https://op.gg/lol/champions/zed/counters/mid,2026-02-13T18:22:53.743566+00:00
mid,16.03,Ahri,ahri,52.38,Sylas,sylas,51.78,9071,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Syndra,syndra,50.93,6584,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Yasuo,yasuo,50.62,6243,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Zed,zed,50.74,5952,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Orianna,orianna,54.00,5743,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Viktor,viktor,52.52,5621,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Akali,akali,52.41,5407,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Katarina,katarina,49.56,5377,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Ryze,ryze,55.36,5329,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Twisted Fate,twistedfate,51.60,4531,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Malzahar,malzahar,53.15,4382,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Yone,yone,55.84,4144,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,LeBlanc,leblanc,51.05,4131,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Kassadin,kassadin,50.43,3964,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Galio,galio,55.21,3903,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Zoe,zoe,50.34,3661,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Veigar,veigar,49.83,3516,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Mel,mel,50.42,3435,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Xerath,xerath,50.15,3398,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Naafiri,naafiri,47.15,3118,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Lux,lux,52.62,3037,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Anivia,anivia,52.32,2934,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Fizz,fizz,50.53,2737,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Aurora,aurora,52.32,2699,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Vex,vex,49.85,2644,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
mid,16.03,Ahri,ahri,52.38,Akshan,akshan,50.15,2596,https://op.gg/lol/champions/ahri/counters/mid,2026-02-13T18:22:54.833276+00:00
