Play As (left) / Vs (top)	Zed	Ahri	Yasuo	Akali	Katarina	Sylas	Ryze	Syndra	Malzahar	Viktor	Orianna	Lissandra	Yone	Twisted Fate	Fizz	LeBlanc	Ekko	Diana	Zoe	Xerath	Malphite	Kassadin	Qiyana	Vladimir	Naafiri	Lux	Anivia	Galio	Veigar	Irelia	Akshan	Vex	Hwei	Aurora	Mel	Azir	Talon	Aurelion Sol	Taliyah	Swain	Sion	Cassiopeia	Annie	Vel'Koz	Pantheon	Kayle	Cho'Gath	Ziggs	Brand	Jayce	Kennen	Smolder	Varus	Neeko	Morgana	Corki	Tristana
Zed	/	49.87	50.44	48.51	48.62	49.33	51.92	53.60	49.62	50.41	51.78	50.51	53.60	48.23	49.85	51.88	50.11	46.62	47.94	47.30	44.64	54.26	47.20	51.65	51.20	50.57	47.81	52.13	53.15	48.15	47.86	47.69	51.40	53.53	54.63	54.17	48.74	51.64	55.53	49.16	48.08	54.11	52.46	51.02	49.78	47.95	49.76	52.06	50.85	44.14	46.64	61.86	47.23	45.45	53.25	62.50	62.74
Ahri	50.12	/	49.90	52.82	49.04	51.35	54.00	50.69	52.11	52.29	54.03	52.42	54.93	51.00	50.60	50.47	50.33	50.81	50.46	50.54	54.72	50.26	48.29	51.38	47.11	51.91	51.18	54.26	49.82	49.46	48.57	49.71	52.63	52.17	50.19	57.55	48.87	52.33	51.96	49.07	49.49	51.09	49.58	52.12	50.50	51.52	51.35	50.14	51.43	48.77	47.05	55.03	49.52	41.18	48.56	57.41	56.41
Yasuo	49.56	50.10	/	50.92	52.90	53.09	54.82	50.34	46.45	48.07	51.87	46.12	49.31	51.66	50.33	50.57	51.80	51.42	50.25	48.64	46.40	47.36	50.11	47.80	52.27	51.79	46.39	48.32	48.39	50.71	53.91	46.02	50.81	52.14	55.47	49.70	49.53	45.50	46.59	49.41	44.82	50.34	47.33	48.50	46.75	46.91	48.47	52.19	49.28	52.21	45.04	57.03	49.64	47.50	45.55	57.59	60.16
Akali	51.49	47.19	49.08	/	51.10	51.80	48.43	50.34	47.87	51.75	51.84	46.69	55.82	44.40	52.24	50.95	53.18	50.14	48.76	50.98	51.51	47.34	47.12	50.57	48.34	48.59	47.54	45.99	46.23	54.20	48.22	47.51	47.29	50.72	53.57	54.35	47.09	47.98	49.21	45.32	43.76	51.78	52.74	50.93	43.41	49.95	56.07	50.68	47.51	49.23	47.15	53.14	45.06	44.31	47.47	51.71	59.55
Katarina	51.38	50.96	47.09	48.90	/	51.18	50.80	54.01	51.32	49.57	53.45	49.08	54.36	49.72	48.68	52.62	49.69	48.57	51.42	53.34	50.06	47.49	48.35	46.15	49.35	50.74	48.75	47.65	53.97	49.48	49.62	46.86	53.83	54.87	53.97	54.45	50.75	51.93	56.55	52.65	51.87	51.98	50.21	50.17	48.28	45.32	46.97	56.96	50.61	46.43	45.47	60.82	46.27	47.60	55.71	52.29	48.83
Sylas	50.67	48.65	46.92	48.20	48.82	/	48.63	49.63	46.87	49.44	51.40	50.42	49.18	50.11	52.34	48.67	52.33	49.44	47.57	49.50	58.53	47.69	46.34	50.61	43.96	48.27	47.55	47.18	46.16	51.62	45.85	43.57	49.23	51.73	53.88	54.97	47.63	47.96	47.17	47.23	44.10	49.34	49.10	45.40	45.84	51.16	47.14	48.35	48.34	48.09	46.29	57.98	44.57	48.83	50.72	59.63	53.44
Ryze	48.07	45.99	45.18	51.57	49.20	51.37	/	45.47	44.13	47.89	47.63	49.36	49.39	45.93	50.37	49.70	50.04	48.59	45.10	46.94	53.73	46.03	43.69	49.86	44.19	47.11	45.61	46.33	44.20	45.07	46.70	47.27	47.52	49.55	53.18	52.01	46.29	44.10	46.93	44.71	48.84	47.34	45.50	44.35	46.79	48.58	42.32	50.36	43.46	45.54	48.15	52.84	42.86	45.91	47.78	50.63	46.51
Syndra	46.39	49.31	49.66	49.66	45.99	50.37	54.51	/	51.30	52.25	53.35	51.47	53.80	49.23	44.77	48.55	47.65	47.71	49.29	45.96	50.11	48.60	46.36	52.99	46.14	49.97	49.99	53.31	51.61	47.23	48.84	51.06	51.23	52.72	56.97	56.06	48.35	46.40	53.45	50.32	50.14	54.76	49.39	48.14	54.30	52.49	48.45	50.66	50.79	50.16	51.42	57.44	51.19	47.61	45.80	59.51	60.38
Malzahar	50.39	47.89	53.55	52.13	48.68	53.13	55.87	48.70	/	47.85	51.20	50.43	50.55	47.08	47.72	55.77	47.33	49.26	54.40	47.43	52.30	48.77	49.90	54.26	50.98	48.97	47.41	49.07	48.65	50.48	48.03	47.90	48.32	53.49	55.33	56.90	44.90	48.78	48.13	44.95	40.33	52.78	52.94	47.64	51.86	47.88	48.28	50.44	48.80	55.43	47.10	50.31	51.87	45.37	42.01	48.28	56.21
Viktor	49.59	47.71	51.93	48.25	50.43	50.56	52.10	47.75	52.15	/	50.74	53.37	50.65	48.19	49.37	49.31	49.17	49.64	48.18	46.48	53.25	46.98	46.97	51.57	48.74	48.50	49.69	51.53	48.38	48.31	48.72	49.63	47.58	50.91	57.70	56.40	45.63	47.34	51.90	50.39	49.93	53.39	51.90	45.58	48.71	50.20	51.69	50.00	51.50	51.44	48.68	59.30	53.28	47.83	51.31	57.41	53.01
