lane,patch,source_champion,source_slug,source_page_win_rate,opponent_champion,opponent_slug,win_rate,games,url,scraped_at_utc
support,16.03,Braum,braum,52.54,Thresh,thresh,51.59,11558,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Nautilus,nautilus,54.86,9676,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Nami,nami,50.66,9445,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Lulu,lulu,53.49,7067,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Karma,karma,51.11,6282,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Leona,leona,51.97,5636,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Milio,milio,51.24,4725,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Bard,bard,49.55,4626,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Alistar,alistar,51.71,3949,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Pyke,pyke,51.05,3767,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Rakan,rakan,48.40,3760,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Blitzcrank,blitzcrank,54.15,3743,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Morgana,morgana,49.97,3234,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Senna,senna,48.29,3108,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Soraka,soraka,50.23,2843,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Sona,sona,49.96,2836,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Yuumi,yuumi,58.53,2619,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Janna,janna,49.27,2618,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Neeko,neeko,50.51,2439,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Seraphine,seraphine,51.02,2203,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Zilean,zilean,47.23,2202,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Rell,rell,52.35,2132,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Swain,swain,51.75,1803,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Lux,lux,54.36,1799,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Pantheon,pantheon,55.87,1534,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Vel'Koz,velkoz,48.57,1499,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Brand,brand,52.44,1457,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Tahm Kench,tahmkench,52.83,1397,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Zyra,zyra,51.87,1361,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Xerath,xerath,52.69,1247,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Maokai,maokai,50.29,1219,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Taric,taric,48.76,1126,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Poppy,poppy,52.66,1052,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Renata Glasc,renata,52.61,785,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Mel,mel,60.77,775,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Shaco,shaco,54.15,639,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Elise,elise,54.71,594,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Zoe,zoe,52.60,384,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,LeBlanc,leblanc,56.06,355,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Fiddlesticks,fiddlesticks,48.70,347,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Braum,braum,52.54,Ashe,ashe,60.92,325,https://op.gg/lol/champions/braum/counters/support,2026-02-13T18:24:40.325594+00:00
support,16.03,Thresh,thresh,51.48,Nami,nami,50.18,13048,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Braum,braum,48.41,11558,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Nautilus,nautilus,51.42,10950,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Lulu,lulu,52.37,10469,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Karma,karma,51.28,9130,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Leona,leona,50.79,7362,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Bard,bard,51.62,6937,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Blitzcrank,blitzcrank,50.50,6311,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Milio,milio,49.90,6110,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
support,16.03,Thresh,thresh,51.48,Pyke,pyke,51.06,5764,https://op.gg/lol/champions/thresh/counters/support,2026-02-13T18:24:41.897865+00:00
