Play As (left) / Vs (top)	Braum	Thresh	Nautilus	Nami	Lulu	Karma	Leona	Milio	Bard	Alistar	Pyke	Rakan	Blitzcrank	Morgana	Senna	Soraka	Sona	Yuumi	Janna	Neeko	Seraphine	Zilean	Rell	Swain	Lux	Pantheon	Vel'Koz	Brand	Tahm Kench	Zyra	Xerath	Maokai	Taric	Poppy	Renata Glasc	Mel	Shaco	Elise	Zoe	LeBlanc	Fiddlesticks	Ashe
Braum	/	51.59	54.86	50.66	53.49	51.11	51.97	51.24	49.55	51.71	51.05	48.40	54.15	49.97	48.29	50.23	49.96	58.53	49.27	50.51	51.02	47.23	52.35	51.75	54.36	55.87	48.57	52.44	52.83	51.87	52.69	50.29	48.76	52.66	52.61	60.77	54.15	54.71	52.60	56.06	48.70	60.92
Thresh	48.41	/	51.42	50.18	52.37	51.28	50.79	49.90	51.62	50.61	51.06	49.60	50.50	50.27	52.47	50.63	50.81	54.26	49.58	50.00	48.86	49.34	50.61	49.61	51.45	54.97	48.38	46.82	52.03	50.23	52.92	48.72	48.37	52.36	50.70	53.85	52.26	50.00	50.00	51.77	50.21	55.53
Nautilus	45.14	48.58	/	49.09	49.79	52.72	45.82	49.84	49.48	48.14	51.66	47.07	50.43	47.66	49.66	48.89	49.92	55.80	49.27	49.43	48.38	47.65	46.73	45.82	51.68	51.31	50.39	45.04	52.99	50.12	53.63	47.67	44.26	51.27	48.89	61.55	45.96	53.63	53.61	52.93	45.74	57.47
Nami	49.33	49.82	50.91	/	50.97	52.09	49.10	50.14	50.87	52.04	50.85	51.47	47.99	52.37	52.72	52.01	50.81	53.67	50.61	50.79	51.57	50.03	52.78	56.55	52.42	52.74	51.41	53.07	52.46	52.03	51.58	48.83	53.18	52.93	52.28	58.43	54.26	49.56	53.59	55.63	49.54	58.01
Lulu	46.51	47.62	50.19	49.02	/	50.63	48.32	49.58	49.66	50.20	50.10	49.50	47.95	52.02	49.81	49.97	48.30	53.83	49.97	51.10	49.34	49.95	51.02	52.93	50.79	52.18	48.95	49.39	50.30	51.75	49.37	50.79	50.46	50.34	50.47	60.56	53.02	51.12	50.21	56.97	51.69	54.77
Karma	48.89	48.72	47.28	47.91	49.37	/	48.29	49.18	49.18	52.15	49.23	48.55	46.21	52.73	49.27	49.42	46.78	50.21	47.46	51.29	50.46	49.44	50.84	51.97	54.45	52.07	52.47	49.16	48.57	49.56	52.63	47.47	48.50	49.29	48.72	58.41	52.98	51.85	54.32	55.41	53.42	58.11
Leona	48.03	49.21	54.18	50.90	51.68	51.71	/	48.50	51.48	50.35	49.61	52.81	53.50	46.90	51.80	46.38	50.54	55.11	47.60	49.33	49.90	51.16	51.31	48.04	50.14	56.56	46.88	49.53	51.34	51.01	51.61	47.05	49.93	48.97	47.29	62.58	49.14	53.78	59.48	53.14	54.39	52.88
Milio	48.76	50.10	50.16	49.86	50.42	50.82	51.50	/	49.50	52.95	51.47	51.28	48.01	54.61	50.56	49.79	48.47	52.54	49.24	49.89	51.10	50.09	50.38	54.01	52.29	55.79	52.35	50.29	53.48	49.92	53.36	50.12	52.24	53.38	51.59	61.69	51.11	49.66	57.28	57.46	50.35	58.70
Bard	50.45	48.36	50.52	49.13	50.34	50.80	48.52	50.50	/	49.06	50.42	51.16	49.31	50.41	48.13	49.05	47.29	51.94	47.42	48.22	52.05	48.56	51.31	54.42	53.11	54.70	48.13	49.06	50.83	49.32	52.55	47.12	48.12	46.77	53.56	56.58	52.43	43.59	47.68	57.50	48.96	58.16
Alistar	48.29	49.39	51.86	47.96	49.76	47.85	49.65	47.05	50.94	/	49.95	47.61	50.78	43.98	46.19	45.93	46.06	56.54	45.55	48.89	45.76	47.22	52.82	46.65	49.57	52.30	48.43	48.85	49.78	52.34	49.70	48.31	46.75	46.71	45.87	54.14	55.26	50.45	47.54	51.02	57.37	52.45
Pyke	48.95	48.94	48.34	49.15	49.90	50.77	50.39	48.53	49.58	50.05	/	45.59	51.36	52.03	52.90	49.42	47.59	53.08	48.70	51.88	51.96	49.60	50.14	52.45	52.84	52.02	52.27	50.52	54.87	49.40	53.52	45.15	49.20	50.97	51.57	56.76	50.00	42.37	52.32	47.62	50.92	61.73
Rakan	51.60	50.40	52.93	48.53	50.50	51.41	47.19	48.72	48.84	52.39	54.41	/	52.59	47.07	46.87	47.29	45.79	55.29	47.86	45.68	48.92	47.26	52.64	48.11	50.00	51.85	48.37	49.70	55.14	46.20	52.12	49.91	46.25	49.24	50.62	56.74	49.67	46.56	52.31	52.25	59.60	52.94
Blitzcrank	45.85	49.50	49.57	52.01	52.05	53.79	46.50	51.99	50.69	49.22	48.64	47.41	/	50.90	53.29	51.42	50.45	53.89	51.59	47.54	50.82	49.95	47.62	49.75	54.15	49.80	53.60	49.86	51.45	48.72	52.73	49.91	46.87	48.45	49.68	54.61	47.80	44.49	52.36	50.52	48.94	61.03
Morgana	50.03	49.73	52.34	47.63	47.98	47.27	53.10	45.39	49.59	56.02	47.90	52.93	49.10	/	47.09	47.42	48.33	48.33	48.12	49.46	48.29	47.80	51.25	53.42	49.85	50.43	48.97	51.04	49.79	49.42	45.72	50.70	44.49	51.83	51.19	49.60	48.45	55.95	52.55	47.66	50.00	51.41
Senna	51.71	47.53	50.34	47.28	50.16	50.73	48.14	49.44	51.87	53.81	47.10	53.13	46.71	52.91	/	49.70	49.65	52.40	49.39	45.87	49.29	47.01	50.36	48.08	48.05	50.71	45.37	51.29	53.65	48.13	48.53	50.00	42.86	51.05	52.30	52.23	50.87	48.91	45.56	52.94	46.34	55.95
Soraka	49.77	49.37	51.11	47.97	50.03	50.58	53.62	50.21	50.95	54.07	50.58	52.71	48.58	52.58	50.30	/	49.61	51.23	49.07	50.00	48.76	50.66	48.70	53.90	51.37	57.38	48.58	52.76	50.95	50.46	52.54	48.25	51.67	55.68	53.81	56.13	53.77	53.87	53.64	60.12	52.88	50.88
Sona	50.04	49.19	50.08	49.18	51.70	53.22	49.46	51.53	52.71	53.94	52.41	54.21	49.55	51.67	50.35	50.39	/	51.30	52.23	50.86	52.01	51.16	50.73	53.64	54.64	56.62	51.72	52.16	50.36	51.70	54.67	45.88	53.13	51.79	51.30	60.93	59.83	51.05	53.61	57.14	55.32	61.51
Yuumi	41.47	45.74	44.20	46.33	46.15	49.79	44.89	47.46	48.06	43.46	46.92	44.71	46.11	51.67	47.60	48.77	48.70	/	45.41	47.95	52.24	50.00	46.11	55.33	51.41	46.85	47.80	48.97	46.07	49.93	52.09	48.36	46.47	46.45	48.26	59.69	53.89	45.51	51.48	50.25	43.78	58.74
Janna	50.69	50.42	50.73	49.39	50.03	52.54	52.40	50.76	52.58	54.45	51.30	52.14	48.41	51.88	50.61	50.93	47.77	54.59	/	50.16	49.21	50.64	53.58	55.71	52.39	52.05	51.94	52.85	53.52	52.48	53.20	46.38	49.25	53.49	50.27	59.59	53.45	52.10	55.56	56.69	54.79	57.30
Neeko	49.49	50.00	50.57	49.21	48.90	48.71	50.67	50.11	51.78	51.11	48.12	54.32	52.46	50.54	54.13	50.00	49.14	52.05	49.84	/	49.10	45.78	56.25	51.89	52.21	48.49	44.94	47.86	47.17	47.02	52.56	51.82	54.22	50.82	48.37	56.38	55.36	50.18	44.63	48.26	47.86	55.41
Seraphine	48.98	51.14	51.62	48.43	50.66	49.54	50.10	48.90	47.90	54.24	48.04	51.08	49.18	51.71	50.71	51.24	47.99	47.76	50.79	50.90	/	48.51	50.84	57.12	50.63	51.62	48.49	49.28	53.11	46.85	51.88	48.97	43.31	51.55	47.22	56.71	55.97	46.46	53.50	54.92	49.69	51.15
Zilean	52.77	50.66	52.35	49.97	50.05	50.56	48.84	49.91	51.44	52.78	50.40	52.74	50.05	52.20	52.99	49.34	48.84	50.00	49.36	54.22	51.49	/	54.25	51.67	52.31	53.81	50.00	52.72	50.62	52.78	48.06	53.78	53.52	54.42	53.56	55.98	54.29	48.07	56.90	51.79	50.82	59.70
Rell	47.65	49.39	53.27	47.22	48.98	49.16	48.69	49.62	48.69	47.18	49.86	47.36	52.38	48.75	49.64	51.30	49.27	53.89	46.42	43.75	49.16	45.75	/	50.73	54.47	52.81	47.26	47.08	51.02	51.27	57.97	43.70	47.98	49.17	48.57	55.96	54.01	53.78	48.18	56.25	48.05	47.95
Swain	48.25	50.39	54.18	43.40	47.07	48.03	51.96	45.99	45.58	53.35	47.55	51.89	50.25	46.58	51.92	46.10	46.36	44.67	44.29	48.11	42.88	48.33	49.27	/	50.07	49.48	43.31	42.27	51.19	47.06	45.85	48.50	51.61	47.90	55.73	52.50	54.08	42.39	45.83	44.27	45.71	50.00
Lux	45.64	48.52	48.32	47.58	49.21	45.55	49.86	47.71	46.89	50.43	47.16	50.00	45.85	50.15	51.95	48.63	45.36	48.59	47.61	47.79	49.37	47.69	45.53	49.93	/	48.94	46.91	46.07	46.75	45.51	46.97	42.63	53.97	51.57	54.66	53.38	46.88	44.77	45.34	46.20	46.15	50.00
Pantheon	44.13	45.03	48.69	47.26	47.82	47.93	43.36	44.21	45.30	47.70	47.98	48.15	50.20	49.57	49.29	42.63	43.38	53.15	47.95	51.51	48.38	46.19	47.19	50.52	51.06	/	51.04	48.85	51.89	43.60	47.85	46.96	45.14	47.86	45.67	59.82	50.00	48.47	45.45	56.14	55.79	40.91
Vel'Koz	51.43	51.62	49.61	48.59	51.05	47.53	53.12	47.65	51.87	51.57	47.73	51.63	46.40	51.03	54.63	51.42	48.28	52.20	48.06	55.06	51.51	50.00	52.74	56.69	53.09	48.96	/	50.47	51.57	51.67	50.09	46.49	48.62	52.30	45.70	50.96	54.27	49.65	46.15	46.38	46.36	53.49
Brand	47.56	53.18	54.96	46.93	50.61	50.84	50.47	49.71	50.94	51.15	49.48	50.30	50.14	48.96	48.71	47.24	47.84	51.03	47.15	52.14	50.72	47.28	52.92	57.73	53.93	51.15	49.53	/	51.18	50.32	53.15	49.19	50.99	46.70	51.92	56.42	46.04	49.52	50.54	53.68	56.47	59.13
