Play As (left) / Vs (top)	Camille	Garen	Zaahen	Renekton	Jax	Aatrox	Ambessa	Darius	Ornn	Malphite	Fiora	Gangplank	Mordekaiser	Riven	Yone	Sett	Gnar	Sion	Irelia	Kayle	Gwen	K'Sante	Singed	Volibear	Shen	Nasus	Jayce	Dr. Mundo	Kennen	Yasuo	Akali	Cho'Gath	Urgot	Rumble	Yorick	Teemo	Gragas	Tahm Kench	Tryndamere	Olaf	Vladimir	Varus	Kled	Pantheon	Vayne	Poppy	Illaoi	Warwick	Ryze	Trundle	Swain	Wukong	Quinn	Heimerdinger	Cassiopeia	Zac	Sylas	Anivia	Maokai	Aurora	Master Yi	Naafiri	Udyr
Camille	/	53.47	47.37	48.93	48.69	49.00	53.70	49.28	47.74	48.30	52.84	47.58	49.08	50.48	53.50	48.47	48.42	48.69	50.23	46.52	45.15	52.49	50.05	51.28	46.54	48.90	49.19	50.51	50.12	51.43	51.34	46.86	50.90	47.72	50.99	47.54	52.29	52.76	53.57	49.62	47.35	46.26	52.02	47.13	50.37	48.86	49.89	41.57	53.00	50.00	46.87	50.86	47.30	47.78	43.08	41.24	47.51	44.38	33.33	46.47	60.17	56.11	57.61
Garen	46.45	/	50.45	51.84	54.44	49.62	49.30	47.92	48.77	51.34	46.15	47.59	48.07	50.94	48.29	47.33	46.66	50.10	53.71	41.84	50.79	54.86	48.30	48.64	48.16	51.45	52.04	51.59	50.59	54.33	50.42	49.04	47.35	48.27	49.81	47.79	51.58	51.58	46.53	51.99	52.46	46.32	50.28	50.49	44.77	50.07	51.66	48.58	49.82	51.12	45.78	51.44	50.86	48.42	50.60	52.45	51.39	47.02	44.76	47.92	49.53	54.73	49.75
Zaahen	52.77	49.51	/	50.65	47.97	49.64	51.60	50.41	49.80	51.08	49.16	48.96	51.43	52.70	53.64	50.50	47.90	53.34	52.47	47.37	49.95	54.13	46.10	49.40	49.15	49.56	52.71	51.48	46.19	52.10	47.68	50.11	49.02	48.31	50.58	45.62	52.51	55.16	52.65	51.41	51.05	45.78	50.06	48.95	47.67	48.71	49.61	51.12	50.89	55.21	51.11	50.44	46.38	46.71	51.21	50.66	57.21	52.62	51.96	53.40	56.35	53.40	54.85
Renekton	51.19	48.30	49.40	/	50.88	49.20	54.42	48.40	46.68	50.86	51.38	46.02	46.70	53.34	52.36	49.69	47.92	49.81	52.67	43.13	46.87	54.15	43.60	51.01	47.09	45.77	48.22	46.74	45.61	53.93	53.41	48.90	48.04	45.90	54.21	45.63	50.65	50.94	50.36	46.59	50.55	44.54	45.99	46.16	49.17	48.31	46.06	49.28	50.00	53.15	45.62	47.52	46.77	45.54	47.05	51.56	50.88	44.36	48.21	46.05	56.00	54.99	53.99
Jax	51.42	45.59	52.01	49.10	/	49.84	51.28	51.36	48.41	48.40	49.64	47.25	50.00	48.06	54.33	51.24	48.62	46.37	54.69	50.84	49.70	49.68	43.63	55.24	46.23	48.46	47.01	46.52	45.85	53.14	47.67	47.13	45.52	47.30	52.96	46.67	48.56	51.19	50.93	50.60	45.10	51.30	48.01	45.57	49.65	46.07	46.87	51.47	51.78	55.86	47.79	52.17	47.29	45.01	48.97	49.39	50.50	47.61	44.27	47.29	62.26	48.85	44.93
Aatrox	50.88	50.37	50.40	50.99	50.05	/	50.02	50.86	47.44	47.27	47.48	50.51	49.19	47.89	49.75	50.62	49.53	51.11	47.84	47.17	47.89	51.02	46.00	50.47	49.08	50.84	49.93	54.85	47.66	50.20	50.46	51.08	48.44	48.87	50.91	49.53	50.75	53.37	52.70	49.38	54.90	49.26	48.00	49.02	48.89	47.95	51.42	48.29	52.33	53.73	50.92	47.55	51.11	48.82	49.16	47.24	54.37	46.97	50.56	50.00	55.21	44.74	49.38
Ambessa	46.30	50.54	48.43	45.54	48.59	50.04	/	48.92	47.82	47.96	50.10	47.63	50.00	47.21	51.41	47.92	49.12	50.65	46.31	47.99	46.87	51.74	45.93	49.81	44.94	49.97	49.70	53.23	45.59	48.86	49.50	48.61	49.09	49.51	49.43	45.17	53.22	48.66	49.88	46.56	51.00	43.52	49.27	44.78	49.20	45.58	46.53	45.52	49.59	51.38	48.47	47.41	48.23	48.76	50.63	42.89	50.42	48.71	47.92	47.34	50.67	49.05	51.46
Darius	50.52	52.13	49.77	51.63	48.58	49.21	51.15	/	47.96	50.30	51.94	46.41	51.42	49.10	50.12	49.53	49.11	51.29	50.90	46.73	49.53	52.45	48.29	47.92	49.58	48.59	47.90	47.37	47.16	55.80	48.47	49.21	47.18	48.63	47.38	45.68	52.15	50.36	52.21	51.67	51.97	44.76	48.26	48.40	44.06	54.32	52.53	49.66	48.45	54.82	47.44	45.89	45.50	47.26	43.12	48.07	50.00	43.55	42.76	52.13	56.46	54.06	57.45
Ornn	52.50	51.15	50.37	53.36	51.57	52.54	52.08	51.99	/	55.93	49.38	51.04	51.28	50.16	50.65	53.40	51.98	50.56	52.06	48.19	50.44	51.02	47.54	51.60	50.24	51.11	55.79	50.21	53.12	52.05	54.68	55.66	51.19	53.29	52.67	52.83	55.94	57.66	51.06	51.11	52.24	50.00	50.62	51.03	53.64	52.45	50.86	48.87	57.99	52.35	50.12	53.54	56.05	55.50	48.72	52.77	53.06	52.10	53.16	54.11	54.06	53.51	52.82
Malphite	51.80	48.83	48.82	49.12	51.64	52.77	51.77	49.75	43.96	/	55.01	50.99	46.97	51.58	50.35	52.89	54.08	44.84	53.97	52.18	46.95	49.62	41.80	49.77	46.35	47.93	56.01	44.73	51.90	51.17	52.74	44.21	48.53	47.11	50.62	53.83	48.03	45.41	56.88	46.67	47.55	49.22	48.40	52.14	62.24	51.03	47.83	46.44	49.26	54.36	44.55	54.82	57.05	52.82	49.62	40.93	44.77	47.06	46.99	50.00	54.15	51.80	53.53
Fiora	47.13	53.91	50.80	48.54	50.19	52.59	49.90	48.06	50.53	44.89	/	47.93	52.66	48.32	56.53	47.30	49.74	51.63	51.60	45.81	51.25	55.70	51.19	51.30	48.93	47.56	52.80	52.02	48.67	52.90	49.68	54.63	46.68	51.10	54.93	50.48	49.89	49.33	48.42	51.00	49.76	46.48	51.93	48.89	45.62	48.63	53.93	46.39	50.13	51.51	49.40	49.08	43.96	45.41	50.78	52.36	56.34	50.19	52.00	51.76	59.71	58.01	52.91
Gangplank	52.48	52.34	51.17	53.94	52.77	49.37	52.20	53.60	48.87	49.05	52.03	/	49.92	49.76	53.32	48.87	50.14	49.58	49.47	43.67	47.03	51.36	53.82	51.86	50.50	50.18	51.35	47.20	50.97	52.47	54.74	51.33	48.75	50.20	54.47	51.21	52.73	51.56	49.41	49.67	48.80	49.64	47.69	50.56	48.99	52.75	52.80	51.28	49.87	50.49	51.75	51.74	46.81	55.74	49.15	53.56	47.59	46.96	54.60	50.00	54.94	48.31	54.88
Mordekaiser	51.07	51.96	48.59	53.29	49.85	50.81	50.04	48.74	48.77	53.01	47.33	49.89	/	45.15	50.51	48.62	50.24	50.43	50.12	47.54	48.97	49.69	45.46	49.87	49.97	49.34	48.12	51.21	47.92	52.71	48.98	52.17	50.63	50.03	47.58	50.81	49.36	52.96	50.17	47.94	50.84	45.10	50.69	48.31	44.65	51.42	55.71	48.34	51.40	55.57	49.92	50.72	49.23	45.91	46.39	46.67	52.85	42.25	56.34	49.67	48.23	47.32	48.15
